s} (flopped=false)], isPlo=true]
[Hour=91546, Hand=[PokerHand: handType=QUADS {Qh Qs Qd Qc Ks} (flopped=false)], isPlo=true]
[Hour=91547, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d 5h 5c 5d}], isPlo=false]
[Hour=91548, Hand=[PokerHand: handType=FULL_HOUSE {7s 7h 7c Kc Ks}], isPlo=false]
[Hour=91549, Hand=null, isPlo=null]
[Hour=91550, Hand=[PokerHand: handType=QUADS {7s 7h 7c 7d Kd} (flopped=true)], isPlo=true]
[Hour=91551, Hand=[PokerHand: handType=FULL_HOUSE {9h 9d Kd Kc Ks}], isPlo=false]
[Hour=91552, Hand=[PokerHand: handType=QUADS {9h 9d 9s 9c Jh}], isPlo=false]
[Hour=91553, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=91554, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td} (flopped=false)], isPlo=true]
[Hour=91555, Hand=[PokerHand: handType=QUADS {8s Kd Kc Ks Kh} (flopped=true)], isPlo=true]
[Hour=91556, Hand=[PokerHand: handType=QUADS {Jh Jd Jc Js Qc} (flopped=false)], isPlo=true]
[Hour=91557, Hand=[PokerHand: handType=QUADS {Ts Tc Th Td As} (flopped=false)], isPlo=true]
[Hour=91558, Hand=[PokerHand: handType=QUADS {8c Jc Jd Js Jh} (flopped=false)], isPlo=true]
[Hour=91559, Hand=[PokerHand: handType=FULL_HOUSE {4s 4h 4c Qs Qd}], isPlo=false]
[Hour=91560, Hand=[PokerHand: handType=QUADS {Td Qc Qs Qh Qd} (flopped=true)], isPlo=true]
[Hour=91561, Hand=[PokerHand: handType=FULL_HOUSE {Ts Th Qd Qc Qh}], isPlo=false]
[Hour=91562, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=91563, Hand=[PokerHand: handType=QUADS {Td Ts Tc Th Qd} (flopped=false)], isPlo=true]
[Hour=91564, Hand=[PokerHand: handType=FULL_HOUSE {4d 4h 9d 9c 9s}], isPlo=false]
[Hour=91565, Hand=[PokerHand: handType=QUADS {7c 8s 8d 8h 8c} (flopped=false)], isPlo=true]
[Hour=91566, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=true)], isPlo=true]
[Hour=91567, Hand=[PokerHand: handType=QUADS {Qc Qs Qd Qh Ac} (flopped=false)], isPlo=true]
[Hour=91568, Hand=[PokerHand: handType=QUADS {Js Jc Jd Jh Ks} (flopped=false)], isPlo=true]
[Hour=91569, Hand=[PokerHand: handType=FULL_HOUSE {Js Jc Jh Qd Qs}], isPlo=false]
[Hour=91570, Hand=[PokerHand: handType=FULL_HOUSE {Jh Jc Ac Ah Ad}], isPlo=false]
[Hour=91571, Hand=[PokerHand: handType=QUADS {7c Kh Kd Kc Ks} (flopped=false)], isPlo=true]
[Hour=91572, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=true)], isPlo=true]
[Hour=91573, Hand=[PokerHand: handType=QUADS {Jd Kd Kh Kc Ks} (flopped=false)], isPlo=true]
[Hour=91574, Hand=[PokerHand: handType=QUADS {Th As Ac Ad Ah} (flopped=false)], isPlo=true]
[Hour=91575, Hand=[PokerHand: handType=QUADS {9h Jh Jd Js Jc} (flopped=false)], isPlo=true]
[Hour=91576, Hand=[PokerHand: handType=QUADS {3c 3s 3h 3d Jd}], isPlo=false]
[Hour=91577, Hand=[PokerHand: handType=QUADS {Qh Qc Qs Qd As} (flopped=false)], isPlo=true]
[Hour=91578, Hand=[PokerHand: handType=QUADS {Qs Qd Qc Qh Kd} (flopped=false)], isPlo=true]
[Hour=91579, Hand=[PokerHand: handType=QUADS {9d Qs Qc Qd Qh}], isPlo=false]
[Hour=91580, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s 5d 5c 5h}], isPlo=false]
[Hour=91581, Hand=[PokerHand: handType=QUADS {9s 9d 9c 9h As} (flopped=false)], isPlo=true]
[Hour=91582, Hand=[PokerHand: handType=QUADS {9c Jh Jd Js Jc} (flopped=false)], isPlo=true]
[Hour=91583, Hand=[PokerHand: handType=FULL_HOUSE {8d 8h Td Tc Th}], isPlo=false]
[Hour=91584, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=91585, Hand=[PokerHand: handType=FULL_HOUSE {Tc Th Ts Jd Jh}], isPlo=false]
[Hour=91586, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
[Hour=91587, Hand=[PokerHand: handType=QUADS {Th Jh Js Jd Jc} (flopped=false)], isPlo=true]
[Hour=91588, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4d 5d 6d 7d 8d}], isPlo=false]
[Hour=91589, Hand=[PokerHand: handType=FULL_HOUSE {8s 8d Qc Qd Qs}], isPlo=false]
[Hour=91590, Hand=[PokerHand: handType=QUADS {9s 9c 9d 9h Kc} (flopped=false)], isPlo=true]
[Hour=91591, Hand=[PokerHand: handType=QUADS {9d Jh Jc Jd Js} (flopped=false)], isPlo=true]
[Hour=91592, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=false)], isPlo=true]
[Hour=91593, Hand=[PokerHand: handType=FULL_HOUSE {5s 5c 5d 9d 9s}], isPlo=false]
[Hour=91594, Hand=[PokerHand: handType=QUADS {9h 9s 9d 9c Th} (flopped=false)], isPlo=true]
[Hour=91595, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=91596, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c Ac} (flopped=false)], isPlo=true]
[Hour=91597, Hand=[PokerHand: handType=QUADS {Ks Ac Ah Ad As} (flopped=false)], isPlo=true]
[Hour=91598, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=true)], isPlo=true]
[Hour=91599, Hand=[PokerHand: handType=QUADS {Jc Jh Jd Js Qs} (flopped=false)], isPlo=true]
[Hour=91600, Hand=[PokerHand: handType=QUADS {Td Ts Th Tc As} (flopped=false)], isPlo=true]
[Hour=91601, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=91602, Hand=null, isPlo=null]
[Hour=91603, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qh Qs Ks Kd}], isPlo=false]
[Hour=91604, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=91605, Hand=[PokerHand: handType=QUADS {3d 3s 3c 3h Tc}], isPlo=false]
[Hour=91606, Hand=[PokerHand: handType=QUADS {Qh Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=91607, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4d 5d 6d 7d 8d} (flopped=false)], isPlo=true]
[Hour=91608, Hand=[PokerHand: handType=FULL_HOUSE {7c 7s Ad As Ah}], isPlo=false]
[Hour=91609, Hand=[PokerHand: handType=FULL_HOUSE {4s 4d Js Jc Jd}], isPlo=false]
[Hour=91610, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9d Td Jd Qd Kd} (flopped=false)], isPlo=true]
[Hour=91611, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=false)], isPlo=true]
[Hour=91612, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s 6s} (flopped=false)], isPlo=true]
[Hour=91613, Hand=[PokerHand: handType=FULL_HOUSE {8c 8s Ac As Ah}], isPlo=false]
[Hour=91614, Hand=[PokerHand: handType=QUADS {Qh Ac Ah As Ad} (flopped=false)], isPlo=true]
[Hour=91615, Hand=[PokerHand: handType=FULL_HOUSE {7h 7c Jd Jc Jh}], isPlo=false]
[Hour=91616, Hand=[PokerHand: handType=FULL_HOUSE {4s 4h 9h 9d 9s}], isPlo=false]
[Hour=91617, Hand=[PokerHand: handType=QUADS {Qd Ks Kd Kh Kc} (flopped=false)], isPlo=true]
[Hour=91618, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=false)], isPlo=true]
[Hour=91619, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3d 4d 5d 6d 7d} (flopped=false)], isPlo=true]
[Hour=91620, Hand=[PokerHand: handType=FULL_HOUSE {8c 8h Jd Jc Js}], isPlo=false]
[Hour=91621, Hand=[PokerHand: handType=QUADS {7c Qh Qs Qc Qd} (flopped=false)], isPlo=true]
[Hour=91622, Hand=[PokerHand: handType=QUADS {Qh Ks Kc Kh Kd} (flopped=false)], isPlo=true]
[Hour=91623, Hand=[PokerHand: handType=FULL_HOUSE {5s 5d Td Tc Ts}], isPlo=false]
[Hour=91624, Hand=[PokerHand: handType=QUADS {8h Tc Th Ts Td} (flopped=false)], isPlo=true]
[Hour=91625, Hand=[PokerHand: handType=FULL_HOUSE {4h 4d 9s 9d 9h}], isPlo=false]
[Hour=91626, Hand=[PokerHand: handType=FULL_HOUSE {Jh Js Qd Qc Qh}], isPlo=false]
[Hour=91627, Hand=[PokerHand: handType=QUADS {7d Jc Jh Jd Js} (flopped=true)], isPlo=true]
[Hour=91628, Hand=[PokerHand: handType=FULL_HOUSE {5d 5c 6s 6c 6h}], isPlo=false]
[Hour=91629, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=91630, Hand=[PokerHand: handType=QUADS {Tc Ts Th Td Js} (flopped=false)], isPlo=true]
[Hour=91631, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=91632, Hand=[PokerHand: handType=QUADS {Th Td Tc Ts Jc} (flopped=false)], isPlo=true]
[Hour=91633, Hand=[PokerHand: handType=FULL_HOUSE {7h 7d Ks Kh Kc}], isPlo=false]
[Hour=91634, Hand=[PokerHand: handType=FULL_HOUSE {2d 2s 6d 6c 6h}], isPlo=false]
[Hour=91635, Hand=[PokerHand: handType=QUADS {9h 9c 9s 9d Qc} (flopped=false)], isPlo=true]
[Hour=91636, Hand=[PokerHand: handType=QUADS {4s 4d 4h 4c Kd}], isPlo=false]
[Hour=91637, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh}], isPlo=false]
[Hour=91638, Hand=null, isPlo=null]
[Hour=91639, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad}], isPlo=false]
[Hour=91640, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=false)], isPlo=true]
[Hour=91641, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=91642, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h Ah} (flopped=false)], isPlo=true]
[Hour=91643, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d} (flopped=false)], isPlo=true]
[Hour=91644, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=91645, Hand=[PokerHand: handType=FULL_HOUSE {7c 7h Qd Qs Qc}], isPlo=false]
[Hour=91646, Hand=[PokerHand: handType=QUADS {9c Qs Qc Qh Qd}], isPlo=false]
[Hour=91647, Hand=[PokerHand: handType=FULL_HOUSE {4h 4c Ah As Ac}], isPlo=false]
[Hour=91648, Hand=[PokerHand: handType=QUADS {Td Jc Jd Jh Js} (flopped=false)], isPlo=true]
[Hour=91649, Hand=[PokerHand: handType=FULL_HOUSE {8d 8h Qd Qh Qs}], isPlo=false]
[Hour=91650, Hand=[PokerHand: handType=QUADS {2s 2c 2h 2d Ad}], isPlo=false]
[Hour=91651, Hand=[PokerHand: handType=FULL_HOUSE {2d 2c As Ah Ad}], isPlo=false]
[Hour=91652, Hand=[PokerHand: handType=QUADS {Th Tc Td Ts Kh} (flopped=false)], isPlo=true]
[Hour=91653, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=91654, Hand=[PokerHand: handType=FULL_HOUSE {3c 3h 3d Qh Qc}], isPlo=false]
[Hour=91655, Hand=[PokerHand: handType=FULL_HOUSE {5s 5h Tc Th Ts}], isPlo=false]
[Hour=91656, Hand=[PokerHand: handType=FULL_HOUSE {2d 2s Qs Qd Qc}], isPlo=false]
[Hour=91657, Hand=[PokerHand: handType=QUADS {5d 5c 5s 5h Kc}], isPlo=false]
[Hour=91658, Hand=[PokerHand: handType=FULL_HOUSE {3s 3h 3c 6c 6d}], isPlo=false]
[Hour=91659, Hand=[PokerHand: handType=FULL_HOUSE {3s 3h Kd Kc Kh}], isPlo=false]
[Hour=91660, Hand=[PokerHand: handType=FULL_HOUSE {4d 4c Ac As Ah}], isPlo=false]
[Hour=91661, Hand=[PokerHand: handType=QUADS {5s Td Th Tc Ts} (flopped=false)], isPlo=true]
[Hour=91662, Hand=[PokerHand: handType=FULL_HOUSE {4d 4c Td Th Tc}], isPlo=false]
[Hour=91663, Hand=[PokerHand: handType=FULL_HOUSE {9h 9d Qh Qc Qs}], isPlo=false]
[Hour=91664, Hand=[PokerHand: handType=FULL_HOUSE {3c 3d 3s 9c 9h}], isPlo=false]
[Hour=91665, Hand=[PokerHand: handType=FULL_HOUSE {Jc Jd As Ac Ah}], isPlo=false]
[Hour=91666, Hand=[PokerHand: handType=QUADS {8h Ad As Ac Ah} (flopped=false)], isPlo=true]
[Hour=91667, Hand=[PokerHand: handType=QUADS {9c 9d 9s 9h Tc} (flopped=false)], isPlo=true]
[Hour=91668, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=91669, Hand=[PokerHand: handType=QUADS {8s 8c 8d 8h Th} (flopped=false)], isPlo=true]
[Hour=91670, Hand=[PokerHand: handType=FULL_HOUSE {6c 6d 6h Jd Jc}], isPlo=false]
[Hour=91671, Hand=[PokerHand: handType=FULL_HOUSE {5s 5h 8c 8d 8h}], isPlo=false]
[Hour=91672, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=91673, Hand=[PokerHand: handType=FULL_HOUSE {3s 3c 3d 5c 5h}], isPlo=false]
[Hour=91674, Hand=[PokerHand: handType=QUADS {8h 8s 8c 8d Qs} (flopped=false)], isPlo=true]
[Hour=91675, Hand=[PokerHand: handType=FULL_HOUSE {6h 6c Ac Ad As}], isPlo=false]
[Hour=91676, Hand=[PokerHand: handType=QUADS {Jd Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=91677, Hand=[PokerHand: handType=FULL_HOUSE {6c 6d Jd Jc Jh}], isPlo=false]
[Hour=91678, Hand=[PokerHand: handType=QUADS {8c 8h 8s 8d Js} (flopped=false)], isPlo=true]
[Hour=91679, Hand=[PokerHand: handType=QUADS {Ts Th Tc Td Kd} (flopped=false)], isPlo=true]
[Hour=91680, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=91681, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=91682, Hand=[PokerHand: handType=FULL_HOUSE {Ts Th Ks Kd Kh}], isPlo=false]
[Hour=91683, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s Ts Td Tc}], isPlo=false]
[Hour=91684, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd}], isPlo=false]
[Hour=91685, Hand=[PokerHand: handType=QUADS {Kc Ks Kh Kd Ah} (flopped=false)], isPlo=true]
[Hour=91686, Hand=[PokerHand: handType=QUADS {Ks As Ac Ah Ad}], isPlo=false]
[Hour=91687, Hand=[PokerHand: handType=FULL_HOUSE {4d 4c Ah Ad Ac}], isPlo=false]
[Hour=91688, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=false)], isPlo=true]
[Hour=91689, Hand=[PokerHand: handType=QUADS {8s 8d 8h 8c Kh} (flopped=false)], isPlo=true]
[Hour=91690, Hand=[PokerHand: handType=FULL_HOUSE {Kh Kc Ah As Ac}], isPlo=false]
[Hour=91691, Hand=[PokerHand: handType=FULL_HOUSE {2d 2s Td Ts Tc}], isPlo=false]
[Hour=91692, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4d 5d 6d 7d 8d} (flopped=true)], isPlo=true]
[Hour=91693, Hand=[PokerHand: handType=QUADS {8c Js Jd Jh Jc} (flopped=false)], isPlo=true]
[Hour=91694, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d} (flopped=false)], isPlo=true]
[Hour=91695, Hand=[PokerHand: handType=FULL_HOUSE {2d 2h Kd Kh Kc}], isPlo=false]
[Hour=91696, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts}], isPlo=false]
[Hour=91697, Hand=[PokerHand: handType=QUADS {Td Tc Th Ts Qd} (flopped=false)], isPlo=true]
[Hour=91698, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s}], isPlo=false]
[Hour=91699, Hand=[PokerHand: handType=QUADS {7h Kh Ks Kd Kc} (flopped=false)], isPlo=true]
[Hour=91700, Hand=[PokerHand: handType=QUADS {Qh Kh Kd Kc Ks} (flopped=false)], isPlo=true]
[Hour=91701, Hand=[PokerHand: handType=QUADS {9s Kh Kc Kd Ks} (flopped=false)], isPlo=true]
[Hour=91702, Hand=null, isPlo=null]
[Hour=91703, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=91704, Hand=[PokerHand: handType=FULL_HOUSE {3d 3h Ks Kh Kd}], isPlo=false]
[Hour=91705, Hand=[PokerHand: handType=QUADS {7s 7d 7h 7c Ah} (flopped=false)], isPlo=true]
[Hour=91706, Hand=[PokerHand: handType=QUADS {Js Jh Jc Jd Kd} (flopped=false)], isPlo=true]
[Hour=91707, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=91708, Hand=[PokerHand: handType=FULL_HOUSE {5c 5s Qd Qh Qc}], isPlo=false]
[Hour=91709, Hand=[PokerHand: handType=QUADS {Kc Ks Kd Kh Ad} (flopped=false)], isPlo=true]
[Hour=91710, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=91711, Hand=[PokerHand: handType=QUADS {Ts Jh Jc Js Jd} (flopped=false)], isPlo=true]
[Hour=91712, Hand=[PokerHand: handType=QUADS {8c 9s 9d 9h 9c} (flopped=true)], isPlo=true]
[Hour=91713, Hand=[PokerHand: handType=QUADS {Kd Ks Kc Kh Ac} (flopped=true)], isPlo=true]
[Hour=91714, Hand=[PokerHand: handType=QUADS {Th As Ad Ah Ac} (flopped=true)], isPlo=true]
[Hour=91715, Hand=[PokerHand: handType=QUADS {Kc Kh Kd Ks Ac} (flopped=false)], isPlo=true]
[Hour=91716, Hand=[PokerHand: handType=QUADS {Qc Qh Qd Qs Kc} (flopped=false)], isPlo=true]
[Hour=91717, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=true)], isPlo=true]
[Hour=91718, Hand=[PokerHand: handType=QUADS {Jc Jh Jd Js As} (flopped=false)], isPlo=true]
[Hour=91719, Hand=[PokerHand: handType=FULL_HOUSE {5h 5s Kc Kh Ks}], isPlo=false]
[Hour=91720, Hand=[PokerHand: handType=QUADS {Jc Ah Ad As Ac} (flopped=true)], isPlo=true]
[Hour=91721, Hand=[PokerHand: handType=QUADS {Jh Ks Kh Kc Kd} (flopped=false)], isPlo=true]
[Hour=91722, Hand=[PokerHand: handType=FULL_HOUSE {Kc Ks Kd Ah Ad}], isPlo=false]
[Hour=91723, Hand=[PokerHand: handType=FULL_HOUSE {Qh Qd Qs Ac Ad}], isPlo=false]
[Hour=91724, Hand=[PokerHand: handType=QUADS {2d 2s 2c 2h Qs}], isPlo=false]
[Hour=91725, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=91726, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js}], isPlo=false]
[Hour=91727, Hand=[PokerHand: handType=QUADS {8d Jc Js Jh Jd}], isPlo=false]
[Hour=91728, Hand=[PokerHand: handType=QUADS {Qh Qd Qs Qc Ad}], isPlo=false]
[Hour=91729, Hand=[PokerHand: handType=QUADS {9s 9h 9d 9c Kh} (flopped=false)], isPlo=true]
[Hour=91730, Hand=[PokerHand: handType=FULL_HOUSE {6s 6c 9h 9s 9c}], isPlo=false]
[Hour=91731, Hand=[PokerHand: handType=QUADS {4c 4s 4h 4d Ah}], isPlo=false]
[Hour=91732, Hand=[PokerHand: handType=FULL_HOUSE {5s 5h 5c 6d 6h}], isPlo=false]
[Hour=91733, Hand=[PokerHand: handType=QUADS {Td Tc Ts Th As} (flopped=false)], isPlo=true]
[Hour=91734, Hand=[PokerHand: handType=FULL_HOUSE {Th Ts Js Jd Jh}], isPlo=false]
[Hour=91735, Hand=[PokerHand: handType=QUADS {Qs Qc Qh Qd As} (flopped=false)], isPlo=true]
[Hour=91736, Hand=[PokerHand: handType=FULL_HOUSE {Js Jd Jc Kd Kc}], isPlo=false]
[Hour=91737, Hand=[PokerHand: handType=QUADS {8c 8s 8d 8h Kd} (flopped=false)], isPlo=true]
[Hour=91738, Hand=[PokerHand: handType=QUADS {Kd Ad Ac As Ah}], isPlo=false]
[Hour=91739, Hand=[PokerHand: handType=FULL_HOUSE {Jc Jh Qs Qh Qd}], isPlo=false]
[Hour=91740, Hand=[PokerHand: handType=FULL_HOUSE {4d 4h As Ac Ad}], isPlo=false]
[Hour=91741, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s 6s} (flopped=false)], isPlo=true]
[Hour=91742, Hand=[PokerHand: handType=QUADS {9s 9h 9c 9d Jc} (flopped=false)], isPlo=true]
[Hour=91743, Hand=[PokerHand: handType=FULL_HOUSE {3c 3s 4h 4s 4d}], isPlo=false]
[Hour=91744, Hand=[PokerHand: handType=QUADS {6c Tc Th Td Ts} (flopped=true)], isPlo=true]
[Hour=91745, Hand=[PokerHand: handType=QUADS {Jd Jh Js Jc As} (flopped=false)], isPlo=true]
[Hour=91746, Hand=[PokerHand: handType=QUADS {Ts Th Td Tc Ks}], isPlo=false]
[Hour=91747, Hand=[PokerHand: handType=QUADS {Tc Ts Th Td Qd} (flopped=true)], isPlo=true]
[Hour=91748, Hand=[PokerHand: handType=FULL_HOUSE {2c 2d Kd Kh Kc}], isPlo=false]
[Hour=91749, Hand=null, isPlo=null]
[Hour=91750, Hand=[PokerHand: handType=QUADS {7c Jc Jd Jh Js} (flopped=false)], isPlo=true]
[Hour=91751, Hand=[PokerHand: handType=FULL_HOUSE {Jc Js As Ad Ac}], isPlo=false]
[Hour=91752, Hand=[PokerHand: handType=FULL_HOUSE {4h 4s 6d 6s 6c}], isPlo=false]
[Hour=91753, Hand=[PokerHand: handType=QUADS {8h Qh Qs Qc Qd} (flopped=false)], isPlo=true]
[Hour=91754, Hand=[PokerHand: handType=QUADS {9d 9h 9c 9s Kh} (flopped=false)], isPlo=true]
[Hour=91755, Hand=[PokerHand: handType=QUADS {Qd Ac As Ad Ah} (flopped=false)], isPlo=true]
[Hour=91756, Hand=[PokerHand: handType=FULL_HOUSE {4c 4h Jd Jc Js}], isPlo=false]
[Hour=91757, Hand=[PokerHand: handType=FULL_HOUSE {7d 7s 9d 9h 9c}], isPlo=false]
[Hour=91758, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c}], isPlo=false]
[Hour=91759, Hand=[PokerHand: handType=QUADS {Jh Qc Qd Qs Qh}], isPlo=false]
[Hour=91760, Hand=[PokerHand: handType=QUADS {Th Ts Tc Td Qh} (flopped=false)], isPlo=true]
[Hour=91761, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s 6s} (flopped=false)], isPlo=true]
[Hour=91762, Hand=[PokerHand: handType=QUADS {Qd Ah As Ac Ad} (flopped=false)], isPlo=true]
[Hour=91763, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s Ah As Ad}], isPlo=false]
[Hour=91764, Hand=[PokerHand: handType=QUADS {4d 4c 4s 4h 5c}], isPlo=false]
[Hour=91765, Hand=[PokerHand: handType=QUADS {5s 5c 5d 5h Ks}], isPlo=false]
[Hour=91766, Hand=[PokerHand: handType=QUADS {Qc Kc Ks Kd Kh} (flopped=false)], isPlo=true]
[Hour=91767, Hand=[PokerHand: handType=FULL_HOUSE {3c 3d 3s Kc Kd}], isPlo=false]
[Hour=91768, Hand=[PokerHand: handType=FULL_HOUSE {4d 4h 8s 8d 8h}], isPlo=false]
[Hour=91769, Hand=[PokerHand: handType=QUADS {9d 9c 9h 9s Kd} (flopped=false)], isPlo=true]
[Hour=91770, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=91771, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2s 3s 4s 5s 6s} (flopped=false)], isPlo=true]
[Hour=91772, Hand=[PokerHand: handType=FULL_HOUSE {Th Tc Kc Kh Ks}], isPlo=false]
[Hour=91773, Hand=[PokerHand: handType=FULL_HOUSE {Ts Th Jc Jd Jh}], isPlo=false]
[Hour=91774, Hand=[PokerHand: handType=QUADS {7s Kd Kc Ks Kh} (flopped=false)], isPlo=true]
[Hour=91775, Hand=[PokerHand: handType=FULL_HOUSE {6h 6c Th Ts Td}], isPlo=false]
[Hour=91776, Hand=[PokerHand: handType=QUADS {Jc Jh Js Jd Kd} (flopped=false)], isPlo=true]
[Hour=91777, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=true)], isPlo=true]
[Hour=91778, Hand=[PokerHand: handType=FULL_HOUSE {5d 5c Kc Ks Kd}], isPlo=false]
[Hour=91779, Hand=[PokerHand: handType=FULL_HOUSE {Tc Td Th Qd Qh}], isPlo=false]
[Hour=91780, Hand=[PokerHand: handType=QUADS {5c Tc Th Td Ts} (flopped=false)], isPlo=true]
[Hour=91781, Hand=[PokerHand: handType=QUADS {9c 9s 9d 9h Kh} (flopped=false)], isPlo=true]
[Hour=91782, Hand=[PokerHand: handType=QUADS {Jh Js Jd Jc Ah} (flopped=false)], isPlo=true]
[Hour=91783, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3h 4h 5h 6h 7h} (flopped=false)], isPlo=true]
[Hour=91784, Hand=[PokerHand: handType=QUADS {Qh Qc Qd Qs Ac} (flopped=false)], isPlo=true]
[Hour=91785, Hand=[PokerHand: handType=FULL_HOUSE {2s 2d 9h 9s 9d}], isPlo=false]
[Hour=91786, Hand=[PokerHand: handType=QUADS {9d 9c 9h 9s Qd} (flopped=false)], isPlo=true]
[Hour=91787, Hand=[PokerHand: handType=FULL_HOUSE {4s 4h 6s 6d 6h}], isPlo=false]
[Hour=91788, Hand=[PokerHand: handType=QUADS {Ts Tc Td Th Jc} (flopped=false)], isPlo=true]
