, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d}], isPlo=false]
[Hour=90109, Hand=[PokerHand: handType=QUADS {8d Ah Ac As Ad} (flopped=false)], isPlo=true]
[Hour=90110, Hand=[PokerHand: handType=QUADS {5d 9s 9d 9h 9c}], isPlo=false]
[Hour=90111, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=90112, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=90113, Hand=[PokerHand: handType=FULL_HOUSE {7h 7s As Ad Ac}], isPlo=false]
[Hour=90114, Hand=[PokerHand: handType=QUADS {7h 7d 7s 7c Kd} (flopped=false)], isPlo=true]
[Hour=90115, Hand=[PokerHand: handType=FULL_HOUSE {3h 3d Kh Kc Kd}], isPlo=false]
[Hour=90116, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Th Jh Qh Kh Ah} (flopped=false)], isPlo=true]
[Hour=90117, Hand=[PokerHand: handType=FULL_HOUSE {6c 6h Js Jc Jh}], isPlo=false]
[Hour=90118, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=true)], isPlo=true]
[Hour=90119, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=90120, Hand=[PokerHand: handType=QUADS {Tc Ks Kc Kd Kh} (flopped=false)], isPlo=true]
[Hour=90121, Hand=[PokerHand: handType=QUADS {Jh Ad As Ah Ac} (flopped=false)], isPlo=true]
[Hour=90122, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks}], isPlo=false]
[Hour=90123, Hand=[PokerHand: handType=FULL_HOUSE {3c 3s Kh Kc Ks}], isPlo=false]
[Hour=90124, Hand=[PokerHand: handType=QUADS {9s Ah Ac As Ad} (flopped=false)], isPlo=true]
[Hour=90125, Hand=[PokerHand: handType=QUADS {Jc Jh Js Jd Qh} (flopped=false)], isPlo=true]
[Hour=90126, Hand=[PokerHand: handType=QUADS {7d Kh Kd Kc Ks}], isPlo=false]
[Hour=90127, Hand=[PokerHand: handType=FULL_HOUSE {Ks Kd Ad As Ah}], isPlo=false]
[Hour=90128, Hand=[PokerHand: handType=QUADS {Ts Kd Ks Kh Kc} (flopped=false)], isPlo=true]
[Hour=90129, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=90130, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2d 3d 4d 5d 6d} (flopped=false)], isPlo=true]
[Hour=90131, Hand=[PokerHand: handType=QUADS {Qd Kh Ks Kc Kd}], isPlo=false]
[Hour=90132, Hand=[PokerHand: handType=QUADS {Jc Js Jd Jh As}], isPlo=false]
[Hour=90133, Hand=[PokerHand: handType=QUADS {Jh Js Jd Jc Ah} (flopped=false)], isPlo=true]
[Hour=90134, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=90135, Hand=[PokerHand: handType=QUADS {8h 8c 8s 8d Ts} (flopped=false)], isPlo=true]
[Hour=90136, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As} (flopped=false)], isPlo=true]
[Hour=90137, Hand=[PokerHand: handType=QUADS {Kh Ac Ad As Ah} (flopped=false)], isPlo=true]
[Hour=90138, Hand=[PokerHand: handType=QUADS {Ks Kc Kh Kd Ah} (flopped=false)], isPlo=true]
[Hour=90139, Hand=[PokerHand: handType=FULL_HOUSE {6h 6d Kd Kc Ks}], isPlo=false]
[Hour=90140, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=false)], isPlo=true]
[Hour=90141, Hand=[PokerHand: handType=QUADS {9s Kc Ks Kd Kh} (flopped=false)], isPlo=true]
[Hour=90142, Hand=[PokerHand: handType=QUADS {5d 5h 5c 5s 7h}], isPlo=false]
[Hour=90143, Hand=[PokerHand: handType=QUADS {9d 9s 9h 9c Ks} (flopped=false)], isPlo=true]
[Hour=90144, Hand=[PokerHand: handType=QUADS {9c 9d 9h 9s As} (flopped=false)], isPlo=true]
[Hour=90145, Hand=[PokerHand: handType=FULL_HOUSE {6s 6c Ah Ac Ad}], isPlo=false]
[Hour=90146, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c 6c} (flopped=false)], isPlo=true]
[Hour=90147, Hand=[PokerHand: handType=QUADS {6s Qc Qd Qh Qs} (flopped=false)], isPlo=true]
[Hour=90148, Hand=[PokerHand: handType=QUADS {6d Jh Js Jd Jc} (flopped=false)], isPlo=true]
[Hour=90149, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h}], isPlo=false]
[Hour=90150, Hand=[PokerHand: handType=QUADS {6s 6d 6h 6c Qc}], isPlo=false]
[Hour=90151, Hand=[PokerHand: handType=FULL_HOUSE {Ts Th Td Jh Jd}], isPlo=false]
[Hour=90152, Hand=[PokerHand: handType=QUADS {Js As Ah Ac Ad} (flopped=false)], isPlo=true]
[Hour=90153, Hand=[PokerHand: handType=QUADS {8s 8h 8d 8c Ac} (flopped=false)], isPlo=true]
[Hour=90154, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=true)], isPlo=true]
[Hour=90155, Hand=[PokerHand: handType=QUADS {6h Th Ts Tc Td} (flopped=false)], isPlo=true]
[Hour=90156, Hand=[PokerHand: handType=FULL_HOUSE {Jc Jd Ah Ac Ad}], isPlo=false]
[Hour=90157, Hand=[PokerHand: handType=QUADS {Th Ah Ad Ac As}], isPlo=false]
[Hour=90158, Hand=[PokerHand: handType=QUADS {8c Kd Kc Kh Ks} (flopped=false)], isPlo=true]
[Hour=90159, Hand=[PokerHand: handType=FULL_HOUSE {Ts Th Kd Kh Ks}], isPlo=false]
[Hour=90160, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=false)], isPlo=true]
[Hour=90161, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Tc Jc Qc Kc Ac} (flopped=false)], isPlo=true]
[Hour=90162, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=90163, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7h 8h 9h Th Jh} (flopped=false)], isPlo=true]
[Hour=90164, Hand=[PokerHand: handType=QUADS {2d 7h 7s 7c 7d}], isPlo=false]
[Hour=90165, Hand=[PokerHand: handType=FULL_HOUSE {5h 5c 9d 9c 9h}], isPlo=false]
[Hour=90166, Hand=[PokerHand: handType=QUADS {Qc Qs Qd Qh Ad} (flopped=false)], isPlo=true]
[Hour=90167, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=90168, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=90169, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3c 4c 5c 6c 7c} (flopped=false)], isPlo=true]
[Hour=90170, Hand=[PokerHand: handType=QUADS {9s 9c 9d 9h Ah} (flopped=false)], isPlo=true]
[Hour=90171, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=90172, Hand=[PokerHand: handType=QUADS {Jc Kc Ks Kh Kd} (flopped=false)], isPlo=true]
[Hour=90173, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=90174, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6c 7c 8c 9c Tc}], isPlo=false]
[Hour=90175, Hand=[PokerHand: handType=QUADS {Jc Jh Jd Js Ad} (flopped=false)], isPlo=true]
[Hour=90176, Hand=[PokerHand: handType=QUADS {Td Qs Qd Qc Qh} (flopped=false)], isPlo=true]
[Hour=90177, Hand=[PokerHand: handType=FULL_HOUSE {7h 7c 7d Js Jd}], isPlo=false]
[Hour=90178, Hand=[PokerHand: handType=QUADS {6h 6s 6d 6c 8h}], isPlo=false]
[Hour=90179, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7c 8c 9c Tc Jc} (flopped=false)], isPlo=true]
[Hour=90180, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4s 5s 6s 7s 8s}], isPlo=false]
[Hour=90181, Hand=[PokerHand: handType=FULL_HOUSE {Qc Qs Ad Ac Ah}], isPlo=false]
[Hour=90182, Hand=[PokerHand: handType=QUADS {Qc Qd Qs Qh As} (flopped=false)], isPlo=true]
[Hour=90183, Hand=[PokerHand: handType=QUADS {5c Kd Kc Ks Kh}], isPlo=false]
[Hour=90184, Hand=[PokerHand: handType=FULL_HOUSE {9d 9c Qc Qd Qs}], isPlo=false]
[Hour=90185, Hand=[PokerHand: handType=FULL_HOUSE {4s 4h Ks Kc Kh}], isPlo=false]
[Hour=90186, Hand=[PokerHand: handType=QUADS {Qd Qs Qc Qh Ac} (flopped=false)], isPlo=true]
[Hour=90187, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2c 3c 4c 5c 6c} (flopped=false)], isPlo=true]
[Hour=90188, Hand=[PokerHand: handType=FULL_HOUSE {Kc Kd Ks Ah As}], isPlo=false]
[Hour=90189, Hand=[PokerHand: handType=QUADS {Jh Jc Js Jd Kd} (flopped=false)], isPlo=true]
[Hour=90190, Hand=[PokerHand: handType=QUADS {Qs Ad Ac As Ah} (flopped=false)], isPlo=true]
[Hour=90191, Hand=[PokerHand: handType=QUADS {Jc Js Jd Jh As} (flopped=false)], isPlo=true]
[Hour=90192, Hand=[PokerHand: handType=FULL_HOUSE {8d 8c Ks Kc Kd}], isPlo=false]
[Hour=90193, Hand=[PokerHand: handType=QUADS {8d 8s 8c 8h Ah} (flopped=false)], isPlo=true]
[Hour=90194, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=90195, Hand=[PokerHand: handType=QUADS {Qd Kh Kd Kc Ks} (flopped=false)], isPlo=true]
[Hour=90196, Hand=[PokerHand: handType=QUADS {Jd Js Jh Jc Ks} (flopped=false)], isPlo=true]
[Hour=90197, Hand=[PokerHand: handType=QUADS {5d 7d 7s 7h 7c}], isPlo=false]
[Hour=90198, Hand=[PokerHand: handType=FULL_HOUSE {7h 7d Ts Tc Th}], isPlo=false]
[Hour=90199, Hand=[PokerHand: handType=QUADS {Qc Ad As Ac Ah} (flopped=false)], isPlo=true]
[Hour=90200, Hand=[PokerHand: handType=QUADS {4c Ad Ac As Ah}], isPlo=false]
[Hour=90201, Hand=[PokerHand: handType=QUADS {Th Ts Tc Td As} (flopped=true)], isPlo=true]
[Hour=90202, Hand=[PokerHand: handType=QUADS {Th Td Ts Tc Kh} (flopped=false)], isPlo=true]
[Hour=90203, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3h 4h 5h 6h 7h} (flopped=false)], isPlo=true]
[Hour=90204, Hand=[PokerHand: handType=QUADS {9d Ad As Ah Ac} (flopped=false)], isPlo=true]
[Hour=90205, Hand=[PokerHand: handType=QUADS {Qh Ah Ad As Ac}], isPlo=false]
[Hour=90206, Hand=[PokerHand: handType=QUADS {Tc Qh Qc Qs Qd}], isPlo=false]
[Hour=90207, Hand=[PokerHand: handType=QUADS {9d Ah As Ac Ad} (flopped=false)], isPlo=true]
[Hour=90208, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6s 7s 8s 9s Ts} (flopped=false)], isPlo=true]
[Hour=90209, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3h 4h 5h 6h 7h}], isPlo=false]
[Hour=90210, Hand=[PokerHand: handType=QUADS {2d Qc Qs Qh Qd}], isPlo=false]
[Hour=90211, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=90212, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3s 4s 5s 6s 7s} (flopped=false)], isPlo=true]
[Hour=90213, Hand=[PokerHand: handType=QUADS {Jc Kc Kh Ks Kd} (flopped=false)], isPlo=true]
[Hour=90214, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=90215, Hand=[PokerHand: handType=QUADS {Kc Ah Ac Ad As} (flopped=false)], isPlo=true]
[Hour=90216, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4s 5s 6s 7s 8s}], isPlo=false]
[Hour=90217, Hand=[PokerHand: handType=QUADS {Th Ah As Ad Ac} (flopped=false)], isPlo=true]
[Hour=90218, Hand=[PokerHand: handType=QUADS {Qh As Ac Ah Ad} (flopped=false)], isPlo=true]
[Hour=90219, Hand=[PokerHand: handType=QUADS {7h 7s 7c 7d Js} (flopped=true)], isPlo=true]
[Hour=90220, Hand=[PokerHand: handType=FULL_HOUSE {4c 4s Tc Th Ts}], isPlo=false]
[Hour=90221, Hand=[PokerHand: handType=FULL_HOUSE {3h 3c Kc Kd Kh}], isPlo=false]
[Hour=90222, Hand=[PokerHand: handType=QUADS {4h Qc Qh Qd Qs}], isPlo=false]
[Hour=90223, Hand=[PokerHand: handType=QUADS {Jh Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=90224, Hand=[PokerHand: handType=QUADS {Jh Js Jc Jd Ad} (flopped=false)], isPlo=true]
[Hour=90225, Hand=[PokerHand: handType=QUADS {Qc Qh Qs Qd Kc} (flopped=false)], isPlo=true]
[Hour=90226, Hand=[PokerHand: handType=QUADS {Qs Qd Qh Qc Kd}], isPlo=false]
[Hour=90227, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3h 4h 5h 6h 7h}], isPlo=false]
[Hour=90228, Hand=[PokerHand: handType=FULL_HOUSE {6c 6s Jc Jh Js}], isPlo=false]
[Hour=90229, Hand=[PokerHand: handType=FULL_HOUSE {6s 6c Ah Ac As}], isPlo=false]
[Hour=90230, Hand=[PokerHand: handType=QUADS {Qc Ac Ah Ad As} (flopped=false)], isPlo=true]
[Hour=90231, Hand=[PokerHand: handType=QUADS {Td Ts Th Tc Ah} (flopped=false)], isPlo=true]
[Hour=90232, Hand=[PokerHand: handType=QUADS {8s 8h 8d 8c Kd} (flopped=false)], isPlo=true]
[Hour=90233, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=90234, Hand=[PokerHand: handType=QUADS {6s 8d 8h 8s 8c} (flopped=false)], isPlo=true]
[Hour=90235, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=90236, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5d 6d 7d 8d 9d} (flopped=false)], isPlo=true]
[Hour=90237, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Td Jd Qd Kd Ad} (flopped=false)], isPlo=true]
[Hour=90238, Hand=[PokerHand: handType=QUADS {Js Jd Jc Jh Qs} (flopped=false)], isPlo=true]
[Hour=90239, Hand=[PokerHand: handType=QUADS {Tc Qc Qd Qh Qs} (flopped=false)], isPlo=true]
[Hour=90240, Hand=[PokerHand: handType=QUADS {8s 8c 8h 8d Qd} (flopped=false)], isPlo=true]
[Hour=90241, Hand=[PokerHand: handType=QUADS {Js Ad Ac Ah As} (flopped=false)], isPlo=true]
[Hour=90242, Hand=[PokerHand: handType=QUADS {Kd Ac Ah As Ad} (flopped=false)], isPlo=true]
[Hour=90243, Hand=[PokerHand: handType=FULL_HOUSE {Jc Jd Qs Qh Qc}], isPlo=false]
[Hour=90244, Hand=[PokerHand: handType=QUADS {Qh Qd Qs Qc Ks} (flopped=false)], isPlo=true]
[Hour=90245, Hand=[PokerHand: handType=QUADS {5s 5d 5c 5h Ah}], isPlo=false]
[Hour=90246, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd}], isPlo=false]
[Hour=90247, Hand=[PokerHand: handType=FULL_HOUSE {4d 4h Kd Kh Kc}], isPlo=false]
[Hour=90248, Hand=[PokerHand: handType=QUADS {Tc Kh Kc Ks Kd}], isPlo=false]
[Hour=90249, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td}], isPlo=false]
[Hour=90250, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=90251, Hand=[PokerHand: handType=FULL_HOUSE {8d 8c Ah Ad As}], isPlo=false]
[Hour=90252, Hand=[PokerHand: handType=QUADS {Qd Qs Qh Qc Ac} (flopped=false)], isPlo=true]
[Hour=90253, Hand=[PokerHand: handType=QUADS {Td Qs Qc Qd Qh} (flopped=false)], isPlo=true]
[Hour=90254, Hand=[PokerHand: handType=FULL_HOUSE {Tc Td Ad Ac Ah}], isPlo=false]
[Hour=90255, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4h 5h 6h 7h 8h} (flopped=false)], isPlo=true]
[Hour=90256, Hand=[PokerHand: handType=QUADS {Td Tc Th Ts Ad} (flopped=true)], isPlo=true]
[Hour=90257, Hand=[PokerHand: handType=QUADS {5s Kh Ks Kd Kc} (flopped=false)], isPlo=true]
[Hour=90258, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=90259, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9h Th Jh Qh Kh} (flopped=true)], isPlo=true]
[Hour=90260, Hand=[PokerHand: handType=QUADS {Qs Qh Qd Qc Ah} (flopped=false)], isPlo=true]
[Hour=90261, Hand=[PokerHand: handType=QUADS {Qs Ad Ac Ah As} (flopped=false)], isPlo=true]
[Hour=90262, Hand=[PokerHand: handType=FULL_HOUSE {Td Tc Jh Jc Js}], isPlo=false]
[Hour=90263, Hand=[PokerHand: handType=QUADS {7d Qs Qh Qd Qc} (flopped=false)], isPlo=true]
[Hour=90264, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=90265, Hand=[PokerHand: handType=FULL_HOUSE {Qh Qc Ah Ac Ad}], isPlo=false]
[Hour=90266, Hand=[PokerHand: handType=QUADS {7s Kd Ks Kc Kh} (flopped=false)], isPlo=true]
[Hour=90267, Hand=[PokerHand: handType=QUADS {3d 3c 3s 3h Ks}], isPlo=false]
[Hour=90268, Hand=[PokerHand: handType=QUADS {7c As Ac Ad Ah} (flopped=true)], isPlo=true]
[Hour=90269, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js} (flopped=false)], isPlo=true]
[Hour=90270, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=90271, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=90272, Hand=[PokerHand: handType=FULL_HOUSE {6d 6c As Ad Ac}], isPlo=false]
[Hour=90273, Hand=[PokerHand: handType=QUADS {8c Qh Qc Qd Qs}], isPlo=false]
[Hour=90274, Hand=[PokerHand: handType=QUADS {Jh Qd Qh Qc Qs} (flopped=false)], isPlo=true]
[Hour=90275, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks} (flopped=false)], isPlo=true]
[Hour=90276, Hand=[PokerHand: handType=QUADS {Ks Ac As Ad Ah} (flopped=false)], isPlo=true]
[Hour=90277, Hand=[PokerHand: handType=QUADS {Qd Ac Ad As Ah} (flopped=false)], isPlo=true]
[Hour=90278, Hand=[PokerHand: handType=QUADS {9s 9c 9h 9d As} (flopped=false)], isPlo=true]
[Hour=90279, Hand=[PokerHand: handType=STRAIGHT_FLUSH {2h 3h 4h 5h 6h} (flopped=false)], isPlo=true]
[Hour=90280, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7h 8h 9h Th Jh} (flopped=false)], isPlo=true]
[Hour=90281, Hand=[PokerHand: handType=FULL_HOUSE {Qd Qc Qs Ac Ad}], isPlo=false]
[Hour=90282, Hand=[PokerHand: handType=FULL_HOUSE {Js Jd Jh Ad Ah}], isPlo=false]
[Hour=90283, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9s Ts Js Qs Ks}], isPlo=false]
[Hour=90284, Hand=[PokerHand: handType=QUADS {3d 9h 9d 9c 9s}], isPlo=false]
[Hour=90285, Hand=[PokerHand: handType=FULL_HOUSE {7d 7c Th Ts Td}], isPlo=false]
[Hour=90286, Hand=[PokerHand: handType=QUADS {9h Qd Qh Qs Qc} (flopped=false)], isPlo=true]
[Hour=90287, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=true)], isPlo=true]
[Hour=90288, Hand=[PokerHand: handType=QUADS {Th Td Ts Tc As} (flopped=false)], isPlo=true]
[Hour=90289, Hand=[PokerHand: handType=STRAIGHT_FLUSH {4c 5c 6c 7c 8c} (flopped=false)], isPlo=true]
[Hour=90290, Hand=[PokerHand: handType=FULL_HOUSE {8d 8c Qs Qh Qd}], isPlo=false]
[Hour=90291, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7s 8s 9s Ts Js} (flopped=false)], isPlo=true]
[Hour=90292, Hand=[PokerHand: handType=QUADS {Qs Qh Qc Qd Ah}], isPlo=false]
[Hour=90293, Hand=[PokerHand: handType=FULL_HOUSE {Ts Td Th As Ad}], isPlo=false]
[Hour=90294, Hand=[PokerHand: handType=QUADS {Kh Ac As Ad Ah}], isPlo=false]
[Hour=90295, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5s 6s 7s 8s 9s} (flopped=true)], isPlo=true]
[Hour=90296, Hand=[PokerHand: handType=QUADS {2c 2d 2h 2s Jd}], isPlo=false]
[Hour=90297, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=90298, Hand=[PokerHand: handType=QUADS {5h Td Th Ts Tc} (flopped=false)], isPlo=true]
[Hour=90299, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=90300, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9d Td Jd Qd Kd} (flopped=false)], isPlo=true]
[Hour=90301, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6c 7c 8c 9c Tc} (flopped=false)], isPlo=true]
[Hour=90302, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8c 9c Tc Jc Qc} (flopped=false)], isPlo=true]
[Hour=90303, Hand=[PokerHand: handType=QUADS {Qd Qs Qh Qc Ks} (flopped=false)], isPlo=true]
[Hour=90304, Hand=[PokerHand: handType=QUADS {Ts Tc Th Td Qd} (flopped=false)], isPlo=true]
[Hour=90305, Hand=[PokerHand: handType=QUADS {Jh Js Jc Jd Qh}], isPlo=false]
[Hour=90306, Hand=[PokerHand: handType=STRAIGHT_FLUSH {7d 8d 9d Td Jd} (flopped=false)], isPlo=true]
[Hour=90307, Hand=[PokerHand: handType=STRAIGHT_FLUSH {Ts Js Qs Ks As}], isPlo=false]
[Hour=90308, Hand=[PokerHand: handType=FULL_HOUSE {7h 7d Kh Ks Kc}], isPlo=false]
[Hour=90309, Hand=[PokerHand: handType=QUADS {8d 8h 8s 8c 9c} (flopped=false)], isPlo=true]
[Hour=90310, Hand=[PokerHand: handType=QUADS {Td Tc Th Ts Kd} (flopped=false)], isPlo=true]
[Hour=90311, Hand=[PokerHand: handType=QUADS {9s 9d 9h 9c Kh} (flopped=false)], isPlo=true]
[Hour=90312, Hand=[PokerHand: handType=QUADS {9h Jc Js Jh Jd} (flopped=false)], isPlo=true]
[Hour=90313, Hand=[PokerHand: handType=STRAIGHT_FLUSH {5c 6c 7c 8c 9c} (flopped=true)], isPlo=true]
[Hour=90314, Hand=[PokerHand: handType=QUADS {Th Qc Qh Qs Qd} (flopped=false)], isPlo=true]
[Hour=90315, Hand=[PokerHand: handType=QUADS {Qc Qh Qs Qd Ad} (flopped=false)], isPlo=true]
[Hour=90316, Hand=[PokerHand: handType=QUADS {Kh Ks Kc Kd Ad} (flopped=false)], isPlo=true]
[Hour=90317, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6d 7d 8d 9d Td}], isPlo=false]
[Hour=90318, Hand=[PokerHand: handType=FULL_HOUSE {5s 5h Kc Ks Kh}], isPlo=false]
[Hour=90319, Hand=[PokerHand: handType=QUADS {Jc Qs Qh Qd Qc} (flopped=false)], isPlo=true]
[Hour=90320, Hand=[PokerHand: handType=FULL_HOUSE {8d 8h Qs Qh Qd}], isPlo=false]
[Hour=90321, Hand=[PokerHand: handType=FULL_HOUSE {7c 7d Js Jh Jc}], isPlo=false]
[Hour=90322, Hand=[PokerHand: handType=QUADS {Qs Qc Qh Qd Ks}], isPlo=false]
[Hour=90323, Hand=[PokerHand: handType=FULL_HOUSE {4c 4h Kc Kh Ks}], isPlo=false]
[Hour=90324, Hand=[PokerHand: handType=FULL_HOUSE {3s 3c 9c 9s 9d}], isPlo=false]
[Hour=90325, Hand=[PokerHand: handType=QUADS {7c Qc Qd Qh Qs}], isPlo=false]
[Hour=90326, Hand=[PokerHand: handType=STRAIGHT_FLUSH {3h 4h 5h 6h 7h}], isPlo=false]
[Hour=90327, Hand=[PokerHand: handType=FULL_HOUSE {5d 5s Ks Kc Kh}], isPlo=false]
[Hour=90328, Hand=[PokerHand: handType=QUADS {6d 8d 8h 8c 8s}], isPlo=false]
[Hour=90329, Hand=[PokerHand: handType=QUADS {5c Qc Qs Qh Qd}], isPlo=false]
[Hour=90330, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9c Tc Jc Qc Kc} (flopped=false)], isPlo=true]
[Hour=90331, Hand=[PokerHand: handType=FULL_HOUSE {7c 7d Ks Kh Kd}], isPlo=false]
[Hour=90332, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8s 9s Ts Js Qs} (flopped=false)], isPlo=true]
[Hour=90333, Hand=[PokerHand: handType=STRAIGHT_FLUSH {6h 7h 8h 9h Th} (flopped=false)], isPlo=true]
[Hour=90334, Hand=[PokerHand: handType=FULL_HOUSE {2s 2c Qh Qd Qc}], isPlo=false]
[Hour=90335, Hand=[PokerHand: handType=QUADS {9s 9c 9h 9d Tc}], isPlo=false]
[Hour=90336, Hand=[PokerHand: handType=FULL_HOUSE {8h 8d 9c 9d 9s}], isPlo=false]
[Hour=90337, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8h 9h Th Jh Qh} (flopped=false)], isPlo=true]
[Hour=90338, Hand=[PokerHand: handType=QUADS {Kd Kc Ks Kh As}], isPlo=false]
[Hour=90339, Hand=[PokerHand: handType=FULL_HOUSE {6c 6d Qc Qd Qh}], isPlo=false]
[Hour=90340, Hand=[PokerHand: handType=QUADS {4h 4s 4c 4d 8s}], isPlo=false]
[Hour=90341, Hand=[PokerHand: handType=QUADS {Td Tc Ts Th Qs}], isPlo=false]
[Hour=90342, Hand=[PokerHand: handType=QUADS {Qc Ks Kh Kd Kc} (flopped=false)], isPlo=true]
[Hour=90343, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
[Hour=90344, Hand=[PokerHand: handType=STRAIGHT_FLUSH {9d Td Jd Qd Kd} (flopped=false)], isPlo=true]
[Hour=90345, Hand=[PokerHand: handType=STRAIGHT_FLUSH {8d 9d Td Jd Qd} (flopped=false)], isPlo=true]
